Identificador,Producto,Cantidad,Precio Unitario,Total Pagado,Forma de pago,Lugar Compra,Fecha Compra
TXN_4015101,Sandwich,1,4.0,4.0,Tarjeta Crédito,,2023-01-18
TXN_6037712,Ensalada,,5.0,15.0,Tarjeta Crédito,Restaurante,2023-08-10
TXN_6845225,Te,4,1.5,6.0,Tarjeta Crédito,Para llevar,2023-02-21
TXN_5214219,Ensalada,4,5.0,20.0,Tarjeta Crédito,,2023-03-22
TXN_3388054,Café,5,2.0,10.0,Efectivo,,2023-11-13
TXN_5817991,Granizado,4,4.0,16.0,Efectivo,,2023-05-24
TXN_2916247,Ensalada,3,DESCONOCIDO,15.0,,Restaurante,2023-09-03
TXN_9798525,Café,2,2.0,4.0,Nequi/Daviplata,Para llevar,2023-11-05
TXN_4974012,Sandwich,5,,20.0,Efectivo,Para llevar,2023-05-17
TXN_7644000,Torta,2,3.0,6.0,,Para llevar,2023-02-07
TXN_1482123,Café,1,2.0,2.0,Efectivo,Restaurante,2023-06-17
TXN_5622313,Ensalada,2,5.0,10.0,Tarjeta Crédito,Restaurante,2023-01-07
TXN_5737831,Jugo,4,DESCONOCIDO,12.0,ERROR,Para llevar,2023-05-15
TXN_3446033,Galleta,3,1.0,3.0,Tarjeta Crédito,,2023-02-15
TXN_6249754,Granizado,1,4.0,4.0,Tarjeta Crédito,Para llevar,2023-10-21
TXN_9729280,Te,3,1.5,4.5,Tarjeta Crédito,Restaurante,2023-11-06
TXN_9551638,Ensalada,3,5.0,15.0,Efectivo,,2023-06-25
TXN_5158607,Granizado,4,,16.0,Tarjeta Crédito,,2023-03-24
TXN_1045022,Sandwich,4,4.0,16.0,Tarjeta Crédito,Para llevar,2023-10-13
TXN_5818032,DESCONOCIDO,1,1.0,1.0,ERROR,,2023-04-19
TXN_5404249,ERROR,1,4.0,4.0,,ERROR,2023-10-04
TXN_5484423,,2,2.0,4.0,,,2023-08-26
TXN_4598397,Café,4,2.0,8.0,Efectivo,Para llevar,2023-09-13
TXN_3849488,Ensalada,DESCONOCIDO,DESCONOCIDO,5.0,,Restaurante,2023-03-01
TXN_9186913,Galleta,2,1.0,2.0,Tarjeta Crédito,Para llevar,2023-10-16
TXN_9507002,Granizado,1,4.0,4.0,Efectivo,Para llevar,2023-05-08
TXN_4423218,Galleta,3,1.0,3.0,Efectivo,Restaurante,2023-05-29
TXN_4851339,Sandwich,1,4.0,4.0,Nequi/Daviplata,Para llevar,2023-02-01
TXN_3274105,Galleta,5,1.0,5.0,Tarjeta Crédito,Para llevar,2023-07-28
TXN_2810280,Granizado,1,4.0,4.0,Nequi/Daviplata,Para llevar,2023-06-25
TXN_9901424,Galleta,3,1.0,3.0,Nequi/Daviplata,,2023-05-30
TXN_3880417,Galleta,1,1.0,1.0,,Restaurante,2023-06-27
TXN_3756680,Te,2,1.5,3.0,Tarjeta Crédito,ERROR,2023-08-30
TXN_2334523,Café,,2.0,10.0,Nequi/Daviplata,Para llevar,2023-08-17
TXN_8611913,Te,5,1.5,7.5,Nequi/Daviplata,Restaurante,2023-07-16
TXN_7387701,Café,1,2.0,2.0,Efectivo,Para llevar,DESCONOCIDO
TXN_9904091,Ensalada,4,5.0,20.0,,,2023-05-20
TXN_4953063,Te,5,,7.5,Tarjeta Crédito,DESCONOCIDO,ERROR
TXN_5908857,Granizado,5,4.0,20.0,,Restaurante,2023-06-04
TXN_4411172,Granizado,4,4.0,16.0,Efectivo,,2023-07-09
TXN_6841805,Torta,2,3.0,6.0,,,2023-02-14
TXN_7800236,Ensalada,3,5.0,15.0,Nequi/Daviplata,DESCONOCIDO,2023-07-19
TXN_2413026,Café,1,ERROR,2.0,,Para llevar,2023-04-26
TXN_9947479,Granizado,5,4.0,20.0,Efectivo,Para llevar,2023-09-27
TXN_6403859,Sandwich,5,4.0,20.0,Tarjeta Crédito,Restaurante,2023-03-06
TXN_6828371,Granizado,4,4.0,16.0,,,2023-10-20
TXN_8335965,Te,5,1.5,7.5,Tarjeta Crédito,,2023-03-21
TXN_9747008,Te,4,1.5,6.0,Efectivo,Para llevar,ERROR
TXN_9703722,Sandwich,5,4.0,20.0,Nequi/Daviplata,Para llevar,2023-01-11
TXN_6259001,Te,4,1.5,,Nequi/Daviplata,Restaurante,2023-01-30
TXN_6119081,Café,2,2.0,4.0,Efectivo,Restaurante,2023-09-27
TXN_4811887,Torta,2,3.0,6.0,Efectivo,Restaurante,2023-02-11
TXN_9587814,Jugo,3,3.0,9.0,Efectivo,Restaurante,2023-01-25
TXN_7682605,Te,5,1.5,7.5,Nequi/Daviplata,DESCONOCIDO,2023-10-19
TXN_4690415,Sandwich,2,ERROR,8.0,Nequi/Daviplata,,
TXN_7946450,Granizado,1,ERROR,4.0,Tarjeta Crédito,Restaurante,2023-07-15
TXN_2611393,Granizado,3,4.0,12.0,,DESCONOCIDO,2023-04-25
TXN_2122597,Torta,3,3.0,9.0,Tarjeta Crédito,,2023-05-11
TXN_7510217,Te,ERROR,1.5,7.5,Tarjeta Crédito,Restaurante,2023-10-24
TXN_3267783,Torta,3,3.0,9.0,,Restaurante,2023-10-30
TXN_7852397,Te,3,1.5,4.5,Efectivo,Restaurante,2023-08-10
TXN_8459594,Sandwich,1,4.0,4.0,Tarjeta Crédito,ERROR,2023-11-07
TXN_9190969,Café,1,2.0,2.0,,Restaurante,2023-10-06
TXN_2982995,Ensalada,1,5.0,5.0,Tarjeta Crédito,Para llevar,2023-04-06
TXN_9181144,,3,3.0,DESCONOCIDO,,Para llevar,2023-10-25
TXN_6490609,Ensalada,4,5.0,DESCONOCIDO,,Restaurante,2023-03-03
TXN_9938260,Granizado,4,4.0,16.0,,Restaurante,2023-03-03
TXN_5486398,Galleta,4,1.0,4.0,Efectivo,,2023-05-13
TXN_5875661,Sandwich,3,4.0,,Tarjeta Crédito,,2023-08-12
TXN_2555823,Torta,4,3.0,12.0,Nequi/Daviplata,,2023-06-21
TXN_4223265,Torta,5,3.0,15.0,Nequi/Daviplata,Restaurante,2023-06-06
TXN_3390072,Te,1,1.5,1.5,Tarjeta Crédito,,2023-05-03
TXN_6491662,Café,2,2.0,4.0,Nequi/Daviplata,Para llevar,2023-10-06
TXN_1248167,DESCONOCIDO,1,4.0,4.0,Efectivo,,2023-03-05
TXN_9500986,Galleta,2,1.0,2.0,Nequi/Daviplata,Para llevar,2023-05-10
TXN_2147453,,4,1.0,4.0,Tarjeta Crédito,ERROR,2023-04-27
TXN_9137801,,5,4.0,20.0,Tarjeta Crédito,Restaurante,2023-06-10
TXN_4892303,Sandwich,4,4.0,16.0,,ERROR,2023-07-16
TXN_5985451,Sandwich,2,4.0,8.0,,,2023-07-24
TXN_6092344,Galleta,5,1.0,5.0,Tarjeta Crédito,Para llevar,2023-12-04
TXN_1218016,Te,3,1.5,4.5,Nequi/Daviplata,,2023-11-26
TXN_8110646,,2,3.0,6.0,Tarjeta Crédito,Para llevar,2023-06-07
TXN_1221777,Café,3,2.0,6.0,ERROR,Restaurante,2023-01-29
TXN_3691087,Galleta,4,1.0,4.0,,,2023-07-11
TXN_5571026,,1,5.0,5.0,Efectivo,Para llevar,2023-09-08
TXN_6336973,Café,4,2.0,8.0,Nequi/Daviplata,Para llevar,2023-03-21
TXN_5609260,Galleta,5,1.0,5.0,Nequi/Daviplata,Restaurante,2023-05-02
TXN_4242676,Café,5,2.0,DESCONOCIDO,Tarjeta Crédito,Para llevar,2023-11-26
TXN_6835777,Jugo,5,3.0,15.0,Nequi/Daviplata,,2023-05-11
TXN_6097706,Sandwich,4,DESCONOCIDO,16.0,Efectivo,Para llevar,2023-02-15
TXN_5496581,Jugo,1,3.0,3.0,Tarjeta Crédito,,2023-08-11
TXN_2897468,Ensalada,2,5.0,10.0,Efectivo,,2023-10-10
TXN_3260087,Ensalada,5,5.0,25.0,,,2023-04-20
TXN_2047672,Sandwich,1,4.0,4.0,Tarjeta Crédito,Restaurante,2023-01-25
TXN_6893490,Café,3,2.0,6.0,Tarjeta Crédito,Para llevar,2023-03-17
TXN_3743336,Ensalada,2,5.0,10.0,Nequi/Daviplata,,2023-02-21
TXN_6851654,Ensalada,1,5.0,5.0,Nequi/Daviplata,Para llevar,2023-01-25
TXN_8510511,Café,4,2.0,8.0,,,2023-10-06
TXN_2092306,Jugo,4,3.0,ERROR,ERROR,Restaurante,2023-04-01
TXN_7345190,Granizado,4,4.0,16.0,Nequi/Daviplata,ERROR,2023-02-20
TXN_6647319,Jugo,5,3.0,15.0,Tarjeta Crédito,,2023-10-23
TXN_5889912,Ensalada,1,5.0,5.0,Efectivo,Restaurante,2023-09-26
TXN_4483304,Granizado,4,4.0,ERROR,Tarjeta Crédito,Para llevar,2023-11-08
TXN_3720223,Torta,4,3.0,12.0,Efectivo,Para llevar,2023-10-22
TXN_4506778,Torta,3,3.0,9.0,Nequi/Daviplata,,2023-04-21
TXN_8226226,Sandwich,1,4.0,4.0,,Restaurante,2023-07-30
TXN_9723120,Te,5,1.5,7.5,Tarjeta Crédito,DESCONOCIDO,2023-01-26
TXN_2726676,Café,3,2.0,6.0,Nequi/Daviplata,Restaurante,2023-08-10
TXN_4011694,,1,2.0,2.0,Tarjeta Crédito,Restaurante,2023-09-02
TXN_3327212,Te,2,1.5,3.0,Tarjeta Crédito,,2023-12-20
TXN_3558795,Granizado,1,4.0,4.0,Efectivo,Restaurante,2023-05-30
TXN_9989242,Sandwich,4,4.0,16.0,,,2023-09-12
TXN_2035772,Galleta,2,ERROR,2.0,Efectivo,,2023-01-17
TXN_2711627,Granizado,5,4.0,20.0,Efectivo,ERROR,2023-11-09
TXN_2804828,Torta,3,3.0,9.0,Efectivo,,2023-02-25
TXN_3869958,Torta,1,3.0,3.0,Nequi/Daviplata,ERROR,2023-01-11
TXN_9684465,Torta,5,3.0,15.0,,Para llevar,2023-02-15
TXN_7570308,Te,4,1.5,6.0,Efectivo,,
TXN_6476304,Sandwich,2,4.0,8.0,Tarjeta Crédito,,2023-03-17
TXN_3893927,Ensalada,4,5.0,20.0,,Restaurante,2023-09-14
TXN_5947976,Café,3,2.0,6.0,,Restaurante,2023-05-21
TXN_4139983,Te,5,1.5,7.5,Efectivo,Para llevar,2023-10-16
TXN_4571222,Galleta,2,1.0,2.0,Tarjeta Crédito,DESCONOCIDO,2023-03-21
TXN_6484542,Ensalada,5,5.0,25.0,Tarjeta Crédito,,2023-05-18
TXN_5183630,Café,4,2.0,8.0,,Restaurante,2023-02-15
TXN_5562799,Galleta,5,1.0,5.0,,,2023-10-25
TXN_9601220,,3,1.0,,Nequi/Daviplata,Para llevar,2023-04-20
TXN_6404625,Torta,5,3.0,15.0,Tarjeta Crédito,ERROR,2023-04-24
TXN_5327102,Galleta,2,1.0,2.0,,,2023-07-16
TXN_5741619,Granizado,ERROR,4.0,20.0,Efectivo,,2023-01-02
TXN_4452589,Te,DESCONOCIDO,1.5,1.5,DESCONOCIDO,Para llevar,2023-08-22
TXN_6540284,Jugo,1,3.0,3.0,,,2023-04-24
TXN_9657957,Granizado,DESCONOCIDO,4.0,8.0,,,2023-11-27
TXN_3670939,Te,3,1.5,4.5,Efectivo,,2023-07-13
TXN_2935871,Galleta,4,1.0,4.0,Efectivo,Para llevar,2023-07-07
TXN_1610204,Torta,1,3.0,3.0,,Para llevar,2023-02-19
TXN_8372268,Ensalada,2,ERROR,10.0,,Para llevar,2023-06-15
TXN_1239021,Sandwich,5,DESCONOCIDO,20.0,Tarjeta Crédito,DESCONOCIDO,2023-09-15
TXN_1863866,Granizado,1,4.0,4.0,Efectivo,,2023-10-03
TXN_4630854,Te,1,1.5,1.5,Nequi/Daviplata,,2023-02-10
TXN_6183842,Te,3,1.5,4.5,DESCONOCIDO,DESCONOCIDO,2023-09-15
TXN_5355693,Granizado,1,4.0,4.0,,,2023-12-03
TXN_8284910,Granizado,1,4.0,4.0,Efectivo,Restaurante,2023-07-19
TXN_4408913,Ensalada,2,5.0,10.0,Efectivo,,2023-08-24
TXN_2123573,Café,5,2.0,10.0,Nequi/Daviplata,Para llevar,2023-01-09
TXN_8036176,Galleta,4,1.0,4.0,Tarjeta Crédito,Para llevar,2023-06-20
TXN_9107676,Sandwich,DESCONOCIDO,4.0,8.0,Efectivo,DESCONOCIDO,2023-02-12
TXN_2490185,Ensalada,4,5.0,20.0,Tarjeta Crédito,Restaurante,2023-12-18
TXN_6295420,Jugo,1,3.0,3.0,Nequi/Daviplata,Para llevar,2023-09-27
TXN_1542042,Torta,4,3.0,12.0,Tarjeta Crédito,Para llevar,2023-07-26
TXN_7716125,Galleta,2,1.0,2.0,Nequi/Daviplata,,2023-05-17
TXN_6579109,Jugo,1,3.0,3.0,Tarjeta Crédito,Para llevar,2023-02-22
TXN_5577030,Galleta,4,1.0,4.0,Nequi/Daviplata,Para llevar,2023-02-15
TXN_3910230,Sandwich,5,4.0,20.0,Efectivo,Para llevar,2023-01-05
TXN_8031804,Café,4,2.0,8.0,Tarjeta Crédito,,2023-07-01
TXN_6928775,,2,1.0,2.0,Efectivo,Restaurante,2023-03-25
TXN_6755107,Granizado,2,4.0,8.0,Nequi/Daviplata,,2023-11-14
TXN_5153899,Te,3,1.5,4.5,,Para llevar,2023-03-01
TXN_5632156,Sandwich,4,4.0,16.0,Nequi/Daviplata,,2023-08-02
TXN_9861782,Sandwich,4,4.0,16.0,Tarjeta Crédito,Restaurante,2023-07-15
TXN_8861275,Granizado,2,4.0,8.0,,Restaurante,2023-10-31
TXN_8961155,Torta,5,3.0,,Efectivo,Para llevar,2023-09-06
TXN_6112765,Café,2,2.0,4.0,Tarjeta Crédito,Para llevar,2023-07-21
TXN_7090563,Granizado,3,4.0,12.0,,Restaurante,2023-08-17
TXN_9737090,Sandwich,3,4.0,12.0,,Restaurante,2023-06-01
TXN_2847831,Café,1,2.0,2.0,Efectivo,Restaurante,2023-02-19
TXN_3385167,Te,3,1.5,4.5,Efectivo,Restaurante,2023-04-26
TXN_1938071,Sandwich,4,4.0,16.0,Tarjeta Crédito,Restaurante,2023-12-25
TXN_8774692,Te,5,1.5,7.5,Nequi/Daviplata,,2023-07-12
TXN_4887268,Ensalada,1,5.0,5.0,Tarjeta Crédito,Restaurante,2023-10-16
TXN_9506372,Torta,4,3.0,12.0,,,2023-11-06
TXN_6651961,Ensalada,4,5.0,20.0,Tarjeta Crédito,Restaurante,2023-02-08
TXN_2537138,Torta,3,3.0,9.0,,DESCONOCIDO,2023-10-24
TXN_2015313,Ensalada,5,5.0,25.0,Efectivo,,2023-10-18
TXN_5604797,Café,1,2.0,2.0,Efectivo,Restaurante,2023-10-13
TXN_6303383,Torta,4,3.0,12.0,Nequi/Daviplata,Restaurante,2023-09-22
TXN_5203710,,ERROR,5.0,20.0,Nequi/Daviplata,,2023-04-22
TXN_7059722,Sandwich,5,4.0,20.0,Nequi/Daviplata,Restaurante,ERROR
TXN_5403707,Granizado,3,4.0,12.0,Efectivo,Restaurante,2023-03-20
TXN_4084052,Jugo,2,3.0,6.0,Nequi/Daviplata,Restaurante,2023-06-30
TXN_3843541,,3,5.0,15.0,Tarjeta Crédito,Restaurante,2023-03-06
TXN_4000025,Te,5,,7.5,DESCONOCIDO,Para llevar,2023-06-12
TXN_7113656,Jugo,2,3.0,6.0,Tarjeta Crédito,Para llevar,2023-01-22
TXN_6039235,Jugo,2,3.0,6.0,Nequi/Daviplata,,2023-06-25
TXN_6621756,Galleta,1,1.0,1.0,,,2023-11-14
TXN_3923847,Torta,2,3.0,6.0,Tarjeta Crédito,,2023-09-12
TXN_3226989,Ensalada,1,5.0,5.0,Tarjeta Crédito,Para llevar,2023-04-17
TXN_1523567,Ensalada,3,5.0,DESCONOCIDO,Nequi/Daviplata,Para llevar,2023-11-22
TXN_8751289,Te,2,1.5,3.0,Efectivo,Restaurante,2023-09-10
TXN_9996195,Jugo,5,3.0,15.0,Nequi/Daviplata,Restaurante,2023-03-16
TXN_2151688,Torta,5,3.0,15.0,,,2023-09-29
TXN_4243591,Torta,4,3.0,12.0,Tarjeta Crédito,Restaurante,2023-10-11
TXN_4138399,Galleta,5,1.0,5.0,Tarjeta Crédito,Para llevar,2023-07-03
TXN_1724233,Galleta,5,1.0,5.0,Nequi/Daviplata,Para llevar,2023-02-01
TXN_1564506,Granizado,5,4.0,20.0,Nequi/Daviplata,Restaurante,2023-02-01
TXN_3520982,Ensalada,5,5.0,25.0,,,2023-10-26
TXN_6130455,Te,2,1.5,3.0,Nequi/Daviplata,DESCONOCIDO,ERROR
TXN_8936591,Galleta,5,1.0,5.0,,Restaurante,2023-03-22
TXN_7622389,Te,4,1.5,6.0,Nequi/Daviplata,Restaurante,2023-02-26
TXN_2896048,Te,4,,6.0,Efectivo,,2023-05-17
TXN_2204457,Café,4,2.0,8.0,Efectivo,Para llevar,2023-01-06
TXN_1319834,Galleta,1,1.0,1.0,,,2023-03-31
TXN_9042043,Galleta,4,1.0,4.0,Efectivo,Para llevar,ERROR
TXN_7503593,Galleta,5,1.0,5.0,Nequi/Daviplata,Para llevar,2023-04-19
TXN_4076463,Galleta,3,1.0,3.0,Nequi/Daviplata,,2023-06-25
TXN_1901704,Ensalada,5,5.0,25.0,Efectivo,,2023-11-17
TXN_5589433,Torta,2,3.0,6.0,Efectivo,Restaurante,2023-03-13
TXN_4386732,Granizado,4,4.0,16.0,Efectivo,,2023-08-01
TXN_3174336,Galleta,DESCONOCIDO,1.0,1.0,,,2023-07-17
TXN_4983903,ERROR,5,4.0,20.0,,,2023-09-18
TXN_8043642,Ensalada,4,5.0,20.0,Efectivo,Restaurante,2023-06-12
TXN_1223805,Jugo,3,3.0,9.0,DESCONOCIDO,Restaurante,2023-07-04
TXN_3879110,ERROR,4,1.0,DESCONOCIDO,Tarjeta Crédito,Para llevar,2023-03-18
TXN_9551491,Ensalada,1,5.0,5.0,,,2023-07-13
TXN_3033987,Torta,4,3.0,12.0,Efectivo,ERROR,2023-03-13
TXN_2732570,Galleta,3,1.0,3.0,Nequi/Daviplata,,2023-06-23
TXN_9104781,Sandwich,2,4.0,8.0,DESCONOCIDO,ERROR,2023-07-03
TXN_7876775,Café,5,2.0,10.0,,Para llevar,2023-02-09
TXN_7566250,Ensalada,3,5.0,15.0,,Para llevar,2023-06-04
TXN_3365018,Jugo,5,3.0,15.0,Efectivo,Para llevar,2023-02-06
TXN_1487762,Te,3,1.5,4.5,,,2023-02-07
TXN_4592205,Galleta,3,1.0,3.0,Tarjeta Crédito,Restaurante,2023-12-30
TXN_6660755,Galleta,2,1.0,2.0,Tarjeta Crédito,Restaurante,2023-05-16
TXN_3750900,Te,2,,3.0,Tarjeta Crédito,Restaurante,2023-04-03
TXN_3290872,Torta,2,3.0,6.0,Tarjeta Crédito,Restaurante,2023-06-13
TXN_6378158,Ensalada,5,,25.0,Tarjeta Crédito,Restaurante,2023-06-17
TXN_8800818,Torta,2,3.0,ERROR,Nequi/Daviplata,,2023-09-28
TXN_5707386,Te,5,1.5,7.5,,Para llevar,2023-06-28
TXN_1145592,Jugo,1,3.0,3.0,Tarjeta Crédito,Para llevar,2023-09-11
TXN_2670487,Café,3,2.0,6.0,Nequi/Daviplata,,2023-10-20
TXN_9485101,Galleta,2,1.0,2.0,Efectivo,Para llevar,2023-11-01
TXN_9667219,Jugo,4,3.0,12.0,Efectivo,Restaurante,2023-10-09
TXN_3119835,Te,2,1.5,3.0,Nequi/Daviplata,Restaurante,2023-03-01
TXN_2454046,Jugo,2,3.0,6.0,,Para llevar,DESCONOCIDO
TXN_7014091,Café,5,2.0,10.0,Efectivo,Restaurante,2023-11-26
TXN_7107807,Galleta,1,1.0,1.0,Nequi/Daviplata,,2023-11-01
TXN_5698925,Jugo,2,3.0,6.0,,Restaurante,2023-04-08
TXN_6662213,Sandwich,4,4.0,16.0,Nequi/Daviplata,,2023-01-18
TXN_1336900,Café,5,2.0,10.0,Tarjeta Crédito,ERROR,2023-01-16
TXN_2250785,Torta,1,3.0,3.0,Efectivo,,2023-03-19
TXN_8122340,Café,4,2.0,,Tarjeta Crédito,,2023-06-09
TXN_9911498,Café,4,2.0,8.0,Efectivo,Restaurante,2023-03-27
TXN_4130861,Ensalada,2,5.0,10.0,Tarjeta Crédito,DESCONOCIDO,
TXN_3741325,Sandwich,5,4.0,20.0,Nequi/Daviplata,,2023-07-04
TXN_8658970,Ensalada,3,5.0,15.0,Tarjeta Crédito,,2023-09-03
TXN_2887971,Granizado,2,4.0,8.0,Nequi/Daviplata,DESCONOCIDO,2023-06-26
TXN_9865855,Café,3,2.0,6.0,Nequi/Daviplata,Para llevar,2023-04-18
TXN_2217295,Jugo,4,ERROR,12.0,Tarjeta Crédito,Restaurante,2023-11-22
TXN_8913492,Sandwich,4,4.0,16.0,Tarjeta Crédito,Restaurante,2023-12-25
TXN_5625086,Sandwich,1,4.0,4.0,Tarjeta Crédito,Restaurante,2023-06-17
TXN_2690222,ERROR,4,3.0,12.0,,,2023-01-01
TXN_5767429,Torta,2,3.0,6.0,DESCONOCIDO,DESCONOCIDO,2023-03-19
TXN_5910541,Torta,ERROR,3.0,15.0,Efectivo,Restaurante,2023-09-08
TXN_4435352,Ensalada,2,5.0,10.0,Tarjeta Crédito,,2023-05-03
TXN_1009421,Galleta,4,1.0,4.0,Efectivo,Para llevar,2023-02-21
TXN_5369243,Granizado,4,4.0,16.0,Efectivo,Para llevar,2023-11-16
TXN_2939667,,1,3.0,3.0,,Restaurante,2023-12-21
TXN_5734395,Sandwich,DESCONOCIDO,4.0,20.0,Efectivo,Para llevar,2023-05-17
TXN_2966262,Te,ERROR,1.5,4.5,Efectivo,,2023-11-19
TXN_7293241,ERROR,1,2.0,2.0,Nequi/Daviplata,,2023-08-27
TXN_1827212,Sandwich,5,4.0,20.0,ERROR,,2023-12-22
TXN_4809548,Granizado,3,4.0,12.0,,Para llevar,2023-11-04
TXN_2224935,Café,1,2.0,2.0,Nequi/Daviplata,,2023-04-15
TXN_7580441,Café,1,DESCONOCIDO,2.0,Efectivo,,2023-08-09
TXN_4897993,Sandwich,4,,16.0,,Restaurante,2023-12-07
TXN_9522045,Café,3,2.0,6.0,,,2023-05-30
TXN_6128966,Sandwich,3,4.0,12.0,,,2023-12-18
TXN_5475746,Torta,3,3.0,9.0,Tarjeta Crédito,Restaurante,2023-08-20
TXN_6071339,Café,5,2.0,10.0,Efectivo,Para llevar,2023-10-17
TXN_9540864,Galleta,2,1.0,2.0,Nequi/Daviplata,Para llevar,2023-08-07
TXN_6389404,Jugo,5,3.0,15.0,Nequi/Daviplata,Restaurante,2023-11-20
TXN_8724474,ERROR,5,5.0,25.0,Efectivo,,2023-08-04
TXN_8199524,Torta,5,3.0,15.0,Efectivo,ERROR,2023-12-01
TXN_1212652,Jugo,3,3.0,9.0,Tarjeta Crédito,DESCONOCIDO,2023-01-30
TXN_1799247,Café,3,2.0,6.0,,,2023-01-25
TXN_5745054,Granizado,1,4.0,4.0,Tarjeta Crédito,,2023-01-26
TXN_4328090,,ERROR,4.0,4.0,Nequi/Daviplata,Restaurante,2023-04-18
TXN_3499226,Jugo,1,3.0,3.0,Tarjeta Crédito,Para llevar,2023-09-08
TXN_1259340,Te,3,ERROR,DESCONOCIDO,Nequi/Daviplata,,2023-02-24
TXN_3893480,Galleta,3,1.0,3.0,,,2023-12-24
TXN_2614271,DESCONOCIDO,2,4.0,8.0,Nequi/Daviplata,ERROR,2023-08-03
TXN_8295765,Torta,4,3.0,12.0,,Para llevar,2023-04-05
TXN_1324760,Te,4,1.5,6.0,Efectivo,Restaurante,2023-01-18
TXN_8292441,Ensalada,1,5.0,5.0,Efectivo,Para llevar,2023-09-15
TXN_6663486,Café,3,2.0,6.0,,,2023-11-02
TXN_9423451,Café,1,DESCONOCIDO,2.0,,,2023-10-22
TXN_3792125,Ensalada,5,5.0,25.0,Tarjeta Crédito,Restaurante,2023-08-25
TXN_7021504,Galleta,2,1.0,2.0,DESCONOCIDO,Restaurante,2023-05-31
TXN_8608811,Torta,5,3.0,15.0,Tarjeta Crédito,Para llevar,2023-01-05
TXN_4844386,,5,DESCONOCIDO,15.0,Tarjeta Crédito,Restaurante,2023-10-28
TXN_4368729,Café,3,2.0,6.0,Nequi/Daviplata,Restaurante,2023-06-11
TXN_5072156,Te,3,1.5,4.5,Nequi/Daviplata,Para llevar,2023-07-24
TXN_5763520,ERROR,1,5.0,5.0,ERROR,,2023-01-17
TXN_4877933,Jugo,5,3.0,15.0,Nequi/Daviplata,Restaurante,2023-01-12
TXN_8854384,Jugo,5,3.0,15.0,Efectivo,Para llevar,2023-08-12
TXN_3308378,Galleta,4,1.0,4.0,Nequi/Daviplata,,2023-04-28
TXN_4355766,Galleta,5,1.0,DESCONOCIDO,Nequi/Daviplata,,2023-11-07
TXN_5644235,Ensalada,4,5.0,20.0,Efectivo,Restaurante,2023-03-25
TXN_5331285,Sandwich,3,4.0,12.0,Nequi/Daviplata,,2023-03-12
TXN_7620397,Galleta,4,1.0,4.0,ERROR,,2023-12-24
TXN_1214868,Jugo,4,,12.0,Efectivo,Restaurante,2023-07-30
TXN_5117595,Granizado,4,4.0,16.0,Efectivo,Restaurante,2023-02-05
TXN_9708144,Granizado,3,4.0,12.0,Efectivo,ERROR,2023-04-18
TXN_8266689,,5,ERROR,15.0,Efectivo,Restaurante,2023-12-03
TXN_3589166,Te,1,1.5,1.5,,,2023-02-02
TXN_3943672,Sandwich,4,4.0,16.0,Tarjeta Crédito,,2023-10-21
TXN_8988279,Granizado,2,4.0,8.0,,Restaurante,2023-08-08
TXN_4269933,Granizado,2,4.0,8.0,,Para llevar,2023-03-28
TXN_2234460,Te,2,1.5,3.0,,Para llevar,2023-08-15
TXN_4356564,Café,2,2.0,4.0,Tarjeta Crédito,Para llevar,2023-10-05
TXN_2223047,DESCONOCIDO,2,2.0,4.0,,Para llevar,2023-06-14
TXN_9469735,Torta,1,3.0,3.0,ERROR,Restaurante,2023-12-31
TXN_6762250,Galleta,2,1.0,2.0,Nequi/Daviplata,Para llevar,2023-06-17
TXN_8553273,Jugo,5,3.0,15.0,Efectivo,Restaurante,2023-01-15
TXN_8713971,Te,1,1.5,1.5,Efectivo,,2023-08-26
TXN_4076575,Granizado,3,4.0,12.0,,Para llevar,2023-01-18
TXN_2432379,Café,1,2.0,2.0,Tarjeta Crédito,Restaurante,2023-10-24
TXN_3187634,DESCONOCIDO,5,2.0,10.0,Nequi/Daviplata,Para llevar,2023-09-01
TXN_1961943,Granizado,DESCONOCIDO,4.0,12.0,Nequi/Daviplata,Restaurante,2023-11-05
TXN_5908104,Sandwich,2,4.0,8.0,Tarjeta Crédito,,2023-05-12
TXN_1355212,Café,2,2.0,4.0,,,2023-05-25
TXN_2155393,Jugo,2,3.0,6.0,Nequi/Daviplata,Restaurante,2023-07-12
TXN_3485938,DESCONOCIDO,4,5.0,20.0,Efectivo,Para llevar,2023-05-28
TXN_9449037,Café,4,2.0,8.0,,Para llevar,2023-04-30
TXN_3114654,Jugo,3,3.0,9.0,,Restaurante,2023-12-01
TXN_5837801,Ensalada,1,5.0,,Tarjeta Crédito,Restaurante,2023-01-25
TXN_1336470,Te,1,1.5,1.5,Efectivo,,2023-12-22
TXN_2544724,Torta,5,3.0,15.0,Nequi/Daviplata,Para llevar,2023-12-28
TXN_1035504,Granizado,2,4.0,8.0,Nequi/Daviplata,Para llevar,2023-03-30
TXN_2576799,Jugo,1,3.0,3.0,Efectivo,,2023-03-12
TXN_4659155,Jugo,1,3.0,3.0,DESCONOCIDO,,2023-04-13
TXN_9781961,Café,1,2.0,2.0,Tarjeta Crédito,Restaurante,2023-12-01
TXN_5313347,Galleta,2,1.0,2.0,Nequi/Daviplata,Para llevar,2023-12-10
TXN_7926510,Ensalada,4,5.0,20.0,Efectivo,,2023-10-03
